('Landslide Hot Chocolate', 'Hot Beverages', 'Beverages')
('BBB Best Creamy Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('BBB Best White Sugar', 'Baking Goods', 'Baking Goods')
('Medalist Thai Rice', 'Starchy Foods', 'Starchy Foods')
('Booker Jack Cheese', 'Dairy', 'Dairy')
('Horatio BBQ Potato Chips', 'Snack Foods', 'Snack Foods')
('Hermanos Sweet Onion', 'Vegetables', 'Produce')
('Sunset Paper Plates', 'Paper Products', 'Household')
('Lake Cole Slaw', 'Side Dishes', 'Deli')
('Kiwi Scallops', 'Seafood', 'Seafood')
('Imagine Ice Cream', 'Frozen Desserts', 'Frozen Foods')
('Gorilla Buttermilk', 'Dairy', 'Dairy Drink')
('Nationeel Graham Crackers', 'Snack Foods', 'Snack Foods')
('PigTail Blueberry Waffles', 'Breakfast Foods', 'Frozen Foods')
('Red Spade Roasted Chicken', 'Meat', 'Deli')
('Gorilla Large Curd Cottage Cheese', 'Dairy', 'Dairy')
('Tell Tale Peaches', 'Fruit', 'Produce')
('Tell Tale Oranges', 'Fruit', 'Produce')
('Super Apple Jam', 'Jams and Jellies', 'Baking Goods')
('Lake Pimento Loaf', 'Meat', 'Deli')
('Nationeel Low Fat Cookies', 'Snack Foods', 'Snack Foods')
('Imagine Home Style French Fries', 'Vegetables', 'Frozen Foods')
('Special Grits', 'Breakfast Foods', 'Breakfast Foods')
('Tell Tale Canned Peanuts', 'Specialty', 'Produce')
('Best Choice Apple Fruit Roll', 'Snack Foods', 'Snack Foods')
('Horatio Salted Pretzels', 'Snack Foods', 'Snack Foods')
('CDR Strawberry Jelly', 'Jams and Jellies', 'Baking Goods')
('Bravo Canned Tuna in Oil', 'Canned Tuna', 'Canned Foods')
('Good Merlot Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Gorilla String Cheese', 'Dairy', 'Dairy')
('Special Wheat Puffs', 'Breakfast Foods', 'Breakfast Foods')
('Super Decaf Coffee', 'Hot Beverages', 'Beverages')
('Cormorant Large Sponge', 'Kitchen Products', 'Household')
('Red Spade Beef Bologna', 'Meat', 'Deli')
('Hermanos Cantelope', 'Fruit', 'Produce')
('Blue Label Large Canned Shrimp', 'Canned Shrimp', 'Canned Foods')
('Amigo Lox', 'Seafood', 'Seafood')
('Plato Grape Jam', 'Jams and Jellies', 'Baking Goods')
('Monarch Ravioli', 'Starchy Foods', 'Starchy Foods')
('Carrington Waffles', 'Breakfast Foods', 'Frozen Foods')
('Horatio Fudge Cookies', 'Snack Foods', 'Snack Foods')
('PigTail Ice Cream Sandwich', 'Frozen Desserts', 'Frozen Foods')
('Bird Call Tartar Control Toothpaste', 'Hygiene', 'Health and Hygiene')
('Faux Products 200 MG Acetominifen', 'Pain Relievers', 'Health and Hygiene')
('Gulf Coast White Chocolate Bar', 'Candy', 'Snacks')
('Landslide Grape Jelly', 'Jams and Jellies', 'Baking Goods')
('Dual City Lox', 'Seafood', 'Seafood')
('Red Wing Plastic Spoons', 'Plastic Products', 'Household')
('Colony English Muffins', 'Bread', 'Baked Goods')
('Super Apple Butter', 'Jams and Jellies', 'Baking Goods')
('Fabulous Apple Drink', 'Drinks', 'Beverages')
('Washington Mango Drink', 'Drinks', 'Beverages')
('Horatio Graham Crackers', 'Snack Foods', 'Snack Foods')
('CDR Hot Chocolate', 'Hot Beverages', 'Beverages')
('Steady Buffered Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Nationeel Dried Apples', 'Snack Foods', 'Snack Foods')
('Steady Deodorant', 'Hygiene', 'Health and Hygiene')
('High Top Mixed Nuts', 'Specialty', 'Produce')
('Top Measure Light Beer', 'Beer and Wine', 'Alcoholic Beverages')
('Jardon Thai Rice', 'Starchy Foods', 'Starchy Foods')
('Portsmouth Light Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Big Time Fajita French Fries', 'Vegetables', 'Frozen Foods')
('Tell Tale Sweet Onion', 'Vegetables', 'Produce')
('Fast Golden Raisins', 'Snack Foods', 'Snack Foods')
('Jeffers Wheat Puffs', 'Breakfast Foods', 'Breakfast Foods')
('Ebony Red Delcious Apples', 'Fruit', 'Produce')
('Gorilla Strawberry Yogurt', 'Dairy', 'Dairy')
('BBB Best Apple Jelly', 'Jams and Jellies', 'Baking Goods')
('Big Time Frozen Carrots', 'Vegetables', 'Frozen Foods')
('Best Choice Fudge Brownies', 'Snack Foods', 'Snack Foods')
('High Quality Scented Tissue', 'Paper Products', 'Household')
('Best Corn Puffs', 'Breakfast Foods', 'Breakfast Foods')
('Landslide Canola Oil', 'Baking Goods', 'Baking Goods')
('Imagine Lime Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Best Choice Strawberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('Cutting Edge Foot-Long Hot Dogs', 'Meat', 'Deli')
('Booker Cheese Spread', 'Dairy', 'Dairy')
('Fort West Sesame Crackers', 'Snack Foods', 'Snack Foods')
('Tri-State Beets', 'Vegetables', 'Produce')
('Better Fancy Canned Sardines', 'Canned Sardines', 'Canned Foods')
('Red Wing Scented Tissue', 'Paper Products', 'Household')
('Denny 25 Watt Lightbulb', 'Electrical', 'Household')
('PigTail Waffles', 'Breakfast Foods', 'Frozen Foods')
('Ebony Golden Delcious Apples', 'Fruit', 'Produce')
('Golden Home Style French Fries', 'Vegetables', 'Frozen Foods')
('Ebony Party Nuts', 'Specialty', 'Produce')
('Booker Low Fat Sour Cream', 'Dairy', 'Dairy')
('Faux Products Multi-Symptom Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('Great Cranberry Muffins', 'Bread', 'Baked Goods')
('Sunset D-Size Batteries', 'Electrical', 'Household')
('Tri-State Peaches', 'Fruit', 'Produce')
('High Quality Toilet Bowl Cleaner', 'Cleaning Supplies', 'Household')
('Tri-State Fancy Plums', 'Fruit', 'Produce')
('BBB Best Corn Oil', 'Baking Goods', 'Baking Goods')
('CDR Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Thresher Malted Milk Balls', 'Candy', 'Snacks')
('Horatio Fudge Brownies', 'Snack Foods', 'Snack Foods')
('Cutting Edge Roasted Chicken', 'Meat', 'Deli')
('Best Choice Low Fat Cookies', 'Snack Foods', 'Snack Foods')
('Horatio Raspberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('Red Spade Pimento Loaf', 'Meat', 'Deli')
('Giant Large Eggs', 'Eggs', 'Eggs')
('Top Measure Chardonnay', 'Beer and Wine', 'Alcoholic Beverages')
('Carlson Low Fat String Cheese', 'Dairy', 'Dairy')
('Johnson Grits', 'Breakfast Foods', 'Breakfast Foods')
('Best Choice No Salt Popcorn', 'Snack Foods', 'Snack Foods')
('Just Right Fancy Canned Anchovies', 'Canned Anchovies', 'Canned Foods')
('Super Corn Oil', 'Baking Goods', 'Baking Goods')
('Faux Products HCL Nasal Spray', 'Decongestants', 'Health and Hygiene')
('Tell Tale Red Delcious Apples', 'Fruit', 'Produce')
('Imagine Frozen Chicken Thighs', 'Meat', 'Frozen Foods')
('Bravo Fancy Canned Oysters', 'Canned Oysters', 'Canned Foods')
('Top Measure Imported Beer', 'Beer and Wine', 'Alcoholic Beverages')
('Tell Tale Walnuts', 'Specialty', 'Produce')
('Quick Extra Lean Hamburger', 'Meat', 'Meat')
('Steady Laundry Detergent', 'Bathroom Products', 'Health and Hygiene')
('PigTail Frozen Chicken Wings', 'Meat', 'Frozen Foods')
('CDR Oregano', 'Baking Goods', 'Baking Goods')
('Fast Low Fat Popcorn', 'Snack Foods', 'Snack Foods')
('CDR Canola Oil', 'Baking Goods', 'Baking Goods')
('Carrington Frozen Mushroom Pizza', 'Pizza', 'Frozen Foods')
('Carrington Frozen Pancakes', 'Breakfast Foods', 'Frozen Foods')
('Golden Beef TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Landslide Pepper', 'Baking Goods', 'Baking Goods')
('Faux Products Conditioning Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Urban Small Eggs', 'Eggs', 'Eggs')
('Modell Blueberry Muffins', 'Bread', 'Baked Goods')
('Nationeel Chocolate Chip Cookies', 'Snack Foods', 'Snack Foods')
('Tri-State Prepared Salad', 'Vegetables', 'Produce')
('Robust Monthly Auto Magazine', 'Magazines', 'Periodicals')
('Carrington Orange Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Plato Apple Preserves', 'Jams and Jellies', 'Baking Goods')
('High Top Dried Mushrooms', 'Vegetables', 'Produce')
('Pleasant Fancy Canned Clams', 'Canned Clams', 'Canned Foods')
('Tell Tale Mandarin Oranges', 'Fruit', 'Produce')
('Plato Columbian Coffee', 'Hot Beverages', 'Beverages')
('Best Choice Frosted Donuts', 'Snack Foods', 'Snack Foods')
('Lake Beef Bologna', 'Meat', 'Deli')
('Tri-State Mixed Nuts', 'Specialty', 'Produce')
('Choice Tasty Candy Bar', 'Candy', 'Snacks')
('Horatio Frosted Donuts', 'Snack Foods', 'Snack Foods')
('Bravo Chicken Ramen Soup', 'Canned Soup', 'Canned Foods')
('Just Right Fancy Canned Sardines', 'Canned Sardines', 'Canned Foods')
('Moms Turkey Hot Dogs', 'Meat', 'Deli')
('Horatio Strawberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('Moms Corned Beef', 'Meat', 'Deli')
('Hilltop Extra Moisture Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Denny AA-Size Batteries', 'Electrical', 'Household')
('BBB Best Apple Preserves', 'Jams and Jellies', 'Baking Goods')
('Consolidated Apricot Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Good Light Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Pleasant Canned Tuna in Water', 'Canned Tuna', 'Canned Foods')
('Cutting Edge Pimento Loaf', 'Meat', 'Deli')
('Blue Medal Egg Substitute', 'Eggs', 'Eggs')
('CDR Apple Preserves', 'Jams and Jellies', 'Baking Goods')
('Skinner Cream Soda', 'Carbonated Beverages', 'Beverages')
('Walrus Chardonnay Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Carrington Frozen Broccoli', 'Vegetables', 'Frozen Foods')
('Ebony Tomatos', 'Vegetables', 'Produce')
('Horatio Avocado Dip', 'Snack Foods', 'Snack Foods')
('Tell Tale Limes', 'Fruit', 'Produce')
('Super Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Carrington Blueberry Waffles', 'Breakfast Foods', 'Frozen Foods')
('Horatio Raisins', 'Snack Foods', 'Snack Foods')
('Faux Products Deodorant', 'Hygiene', 'Health and Hygiene')
('American Sliced Turkey', 'Meat', 'Deli')
('Musial Mints', 'Candy', 'Snacks')
('Horatio Beef Jerky', 'Snack Foods', 'Snack Foods')
('Sunset Frying Pan', 'Kitchen Products', 'Household')
('Fort West Golden Raisins', 'Snack Foods', 'Snack Foods')
('Consolidated Multi-Symptom Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('Bravo Turkey Noodle Soup', 'Canned Soup', 'Canned Foods')
('Fort West Frosted Cookies', 'Snack Foods', 'Snack Foods')
('Skinner Mango Drink', 'Drinks', 'Beverages')
('Cormorant Scented Tissue', 'Paper Products', 'Household')
('Gorilla 2\\% Milk', 'Dairy', 'Dairy Drink')
('Hilltop Silky Smooth Hair Conditioner', 'Bathroom Products', 'Health and Hygiene')
('Hermanos Beets', 'Vegetables', 'Produce')
('Landslide Regular Coffee', 'Hot Beverages', 'Beverages')
('Giant Egg Substitute', 'Eggs', 'Eggs')
('Hermanos Red Pepper', 'Vegetables', 'Produce')
('Fort West Low Fat Popcorn', 'Snack Foods', 'Snack Foods')
('Even Better Cheese Spread', 'Dairy', 'Dairy')
('BBB Best Apple Butter', 'Jams and Jellies', 'Baking Goods')
('Excellent Apple Juice', 'Pure Juice Beverages', 'Beverages')
('Dollar Monthly Sports Magazine', 'Magazines', 'Periodicals')
('Carlson Muenster Cheese', 'Dairy', 'Dairy')
('High Top Canned Peanuts', 'Specialty', 'Produce')
('High Quality AA-Size Batteries', 'Electrical', 'Household')
('Bird Call 200 MG Ibuprofen', 'Pain Relievers', 'Health and Hygiene')
('High Top Squash', 'Vegetables', 'Produce')
('Tell Tale Mushrooms', 'Vegetables', 'Produce')
('Steady Angled Toothbrush', 'Bathroom Products', 'Health and Hygiene')
('Cormorant Scissors', 'Hardware', 'Household')
('Walrus White Zinfandel Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Mighty Good Monthly Fashion Magazine', 'Magazines', 'Periodicals')
('PigTail Frozen Sausage Pizza', 'Pizza', 'Frozen Foods')
('Carrington Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Gauss Monthly Computer Magazine', 'Magazines', 'Periodicals')
('Great Wheat Bread', 'Bread', 'Baked Goods')
('Club Low Fat String Cheese', 'Dairy', 'Dairy')
('Bravo Canned Yams', 'Vegetables', 'Canned Foods')
('Imagine Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Booker Havarti Cheese', 'Dairy', 'Dairy')
('Tell Tale Beets', 'Vegetables', 'Produce')
('Cutting Edge Chicken Hot Dogs', 'Meat', 'Deli')
('Tri-State Almonds', 'Specialty', 'Produce')
('Carrington Low Fat Waffles', 'Breakfast Foods', 'Frozen Foods')
('Thresher White Chocolate Bar', 'Candy', 'Snacks')
('James Bay City Map', 'Miscellaneous', 'Checkout')
('High Top Fresh Lima Beans', 'Vegetables', 'Produce')
('Imagine Frozen Peas', 'Vegetables', 'Frozen Foods')
('Lake Chicken Hot Dogs', 'Meat', 'Deli')
('Steady Tartar Control Toothpaste', 'Hygiene', 'Health and Hygiene')
('Lake Corned Beef', 'Meat', 'Deli')
('Super Brown Sugar', 'Baking Goods', 'Baking Goods')
('BBB Best Low Fat Apple Butter', 'Jams and Jellies', 'Baking Goods')
('Better Rice Soup', 'Canned Soup', 'Canned Foods')
('Just Right Chicken Noodle Soup', 'Canned Soup', 'Canned Foods')
('High Top Prepared Salad', 'Vegetables', 'Produce')
('Fast Chocolate Donuts', 'Snack Foods', 'Snack Foods')
('Blue Label Vegetable Soup', 'Canned Soup', 'Canned Foods')
('Horatio Cheese Crackers', 'Snack Foods', 'Snack Foods')
('Footnote Extra Lean Hamburger', 'Meat', 'Meat')
('Golden Frozen Peas', 'Vegetables', 'Frozen Foods')
('Excel Monthly Home Magazine', 'Magazines', 'Periodicals')
('Bird Call Toothpaste', 'Hygiene', 'Health and Hygiene')
('Big Time Frozen Pancakes', 'Breakfast Foods', 'Frozen Foods')
('Dollar Monthly Auto Magazine', 'Magazines', 'Periodicals')
('Booker Chocolate Milk', 'Dairy', 'Dairy Drink')
('Fabulous Apple Juice', 'Pure Juice Beverages', 'Beverages')
('Denny Copper Cleaner', 'Kitchen Products', 'Household')
('Better Canned Peas', 'Vegetables', 'Canned Foods')
('Cormorant Soft Napkins', 'Paper Products', 'Household')
('High Top Elephant Garlic', 'Vegetables', 'Produce')
('Plato Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Moms Potato Salad', 'Side Dishes', 'Deli')
('Fort West Raspberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('Ebony Summer Squash', 'Vegetables', 'Produce')
('Toucan Canned Peaches', 'Fruit', 'Canned Products')
('Jumbo Large Brown Eggs', 'Eggs', 'Eggs')
('Fort West Dried Apricots', 'Snack Foods', 'Snack Foods')
('Gorilla Low Fat Cottage Cheese', 'Dairy', 'Dairy')
('Imagine Pancake Mix', 'Breakfast Foods', 'Frozen Foods')
('Carlson Head Cheese', 'Dairy', 'Dairy')
('Giant Small Eggs', 'Eggs', 'Eggs')
('Gorilla Whole Milk', 'Dairy', 'Dairy Drink')
('Landslide Apple Preserves', 'Jams and Jellies', 'Baking Goods')
('Big Time Frozen Mushroom Pizza', 'Pizza', 'Frozen Foods')
('Bird Call Silky Smooth Hair Conditioner', 'Bathroom Products', 'Health and Hygiene')
('Big Time Ice Cream Sandwich', 'Frozen Desserts', 'Frozen Foods')
('Choice Malted Milk Balls', 'Candy', 'Snacks')
('Hermanos Limes', 'Fruit', 'Produce')
('CDR Strawberry Preserves', 'Jams and Jellies', 'Baking Goods')
('Tri-State New Potatos', 'Vegetables', 'Produce')
('Ebony Shitake Mushrooms', 'Vegetables', 'Produce')
('Nationeel Fudge Brownies', 'Snack Foods', 'Snack Foods')
('Gorilla 1\\% Milk', 'Dairy', 'Dairy Drink')
('Tell Tale Cauliflower', 'Vegetables', 'Produce')
('Hermanos Mixed Nuts', 'Specialty', 'Produce')
('Even Better 1\\% Milk', 'Dairy', 'Dairy Drink')
('High Top Beets', 'Vegetables', 'Produce')
('Just Right Beef Soup', 'Canned Soup', 'Canned Foods')
('CDR Regular Coffee', 'Hot Beverages', 'Beverages')
('Best Oatmeal', 'Breakfast Foods', 'Breakfast Foods')
('Blue Label Fancy Canned Anchovies', 'Canned Anchovies', 'Canned Foods')
('Even Better Low Fat String Cheese', 'Dairy', 'Dairy')
('Gulf Coast Spicy Mints', 'Candy', 'Snacks')
('Carlson 2\\% Milk', 'Dairy', 'Dairy Drink')
('Imagine Frozen Cheese Pizza', 'Pizza', 'Frozen Foods')
('Tri-State Green Pepper', 'Vegetables', 'Produce')
('Cormorant Plastic Forks', 'Plastic Products', 'Household')
('Big Time Chicken TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Hermanos Peaches', 'Fruit', 'Produce')
('Consolidated Tartar Control Toothpaste', 'Hygiene', 'Health and Hygiene')
('Club Sour Cream', 'Dairy', 'Dairy')
('Tri-State Potatos', 'Vegetables', 'Produce')
('Red Spade Low Fat Bologna', 'Meat', 'Deli')
('High Top Broccoli', 'Vegetables', 'Produce')
('Bravo Chicken Noodle Soup', 'Canned Soup', 'Canned Foods')
('Hermanos Lemons', 'Fruit', 'Produce')
('Washington Diet Cola', 'Carbonated Beverages', 'Beverages')
('Blue Label Rice Soup', 'Canned Soup', 'Canned Foods')
('Great Bagels', 'Bread', 'Baked Goods')
('High Quality Economy Toilet Brush', 'Bathroom Products', 'Household')
('Cormorant Scented Toilet Tissue', 'Paper Products', 'Household')
('Just Right Canned Yams', 'Vegetables', 'Canned Foods')
('Blue Medal Large Brown Eggs', 'Eggs', 'Eggs')
('BBB Best Grape Jam', 'Jams and Jellies', 'Baking Goods')
('Plato Apple Jam', 'Jams and Jellies', 'Baking Goods')
('Blue Label Turkey Noodle Soup', 'Canned Soup', 'Canned Foods')
('Blue Label Canned String Beans', 'Vegetables', 'Canned Foods')
('Hermanos Cauliflower', 'Vegetables', 'Produce')
('Robust Monthly Fashion Magazine', 'Magazines', 'Periodicals')
('Atomic Bubble Gum', 'Candy', 'Snacks')
('Denny Counter Cleaner', 'Cleaning Supplies', 'Household')
('Even Better Buttermilk', 'Dairy', 'Dairy Drink')
('High Quality Plastic Knives', 'Plastic Products', 'Household')
('Club Low Fat Cottage Cheese', 'Dairy', 'Dairy')
('Tri-State Fresh Lima Beans', 'Vegetables', 'Produce')
('Hermanos Lettuce', 'Vegetables', 'Produce')
('High Quality Room Freshener', 'Cleaning Supplies', 'Household')
('Portsmouth Merlot Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Gerolli Seasoned Hamburger', 'Meat', 'Meat')
('PigTail Low Fat French Fries', 'Vegetables', 'Frozen Foods')
('Best Choice Golden Raisins', 'Snack Foods', 'Snack Foods')
('Thresher Spicy Mints', 'Candy', 'Snacks')
('Excel Monthly Auto Magazine', 'Magazines', 'Periodicals')
('National Small Eggs', 'Eggs', 'Eggs')
('Jumbo Large Eggs', 'Eggs', 'Eggs')
('Bird Call Deodorant', 'Hygiene', 'Health and Hygiene')
('Faux Products Extra Moisture Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Fabulous Berry Juice', 'Pure Juice Beverages', 'Beverages')
('Pearl Chardonnay', 'Beer and Wine', 'Alcoholic Beverages')
('Nationeel Cheese Dip', 'Snack Foods', 'Snack Foods')
('Big Time Popsicles', 'Frozen Desserts', 'Frozen Foods')
('High Quality 100 Watt Lightbulb', 'Electrical', 'Household')
('Gorilla Havarti Cheese', 'Dairy', 'Dairy')
('Golden Fajita French Fries', 'Vegetables', 'Frozen Foods')
('Super Pepper', 'Baking Goods', 'Baking Goods')
('Musial Spicy Mints', 'Candy', 'Snacks')
('Discover Spaghetti', 'Starchy Foods', 'Starchy Foods')
('High Top Tomatos', 'Vegetables', 'Produce')
('Plato Sesame Oil', 'Baking Goods', 'Baking Goods')
('Just Right Noodle Soup', 'Canned Soup', 'Canned Foods')
('Just Right Fancy Canned Clams', 'Canned Clams', 'Canned Foods')
('Skinner Orange Juice', 'Pure Juice Beverages', 'Beverages')
('Red Wing Paper Towels', 'Paper Products', 'Household')
('Excel Monthly Fashion Magazine', 'Magazines', 'Periodicals')
('Great Muffins', 'Bread', 'Baked Goods')
('Excellent Apple Drink', 'Drinks', 'Beverages')
('Skinner Diet Cola', 'Carbonated Beverages', 'Beverages')
('Super Apple Jelly', 'Jams and Jellies', 'Baking Goods')
('Denny Silver Cleaner', 'Kitchen Products', 'Household')
('Musial Bubble Gum', 'Candy', 'Snacks')
('Lake Roasted Chicken', 'Meat', 'Deli')
('Best Choice Avocado Dip', 'Snack Foods', 'Snack Foods')
('Sphinx Rye Bread', 'Bread', 'Baked Goods')
('Imagine Frozen Pancakes', 'Breakfast Foods', 'Frozen Foods')
('Ebony Dried Mushrooms', 'Vegetables', 'Produce')
('PigTail Frozen Mushroom Pizza', 'Pizza', 'Frozen Foods')
('Kiwi Lox', 'Seafood', 'Seafood')
('Colony Cranberry Muffins', 'Bread', 'Baked Goods')
('Golden Turkey TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Top Measure Chardonnay Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Pleasant Beef Soup', 'Canned Soup', 'Canned Foods')
('Best Choice Corn Chips', 'Snack Foods', 'Snack Foods')
('Nationeel Low Fat Chips', 'Snack Foods', 'Snack Foods')
('Washington Cola', 'Carbonated Beverages', 'Beverages')
('Sunset Copper Cleaner', 'Kitchen Products', 'Household')
('Plato Decaf Coffee', 'Hot Beverages', 'Beverages')
('Tell Tale Green Pepper', 'Vegetables', 'Produce')
('Fort West Low Fat Cookies', 'Snack Foods', 'Snack Foods')
('Atomic Tasty Candy Bar', 'Candy', 'Snacks')
('Carrington Home Style French Fries', 'Vegetables', 'Frozen Foods')
('Walrus Merlot Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Fort West Cheese Dip', 'Snack Foods', 'Snack Foods')
('Gorilla Chocolate Milk', 'Dairy', 'Dairy Drink')
('Fast Graham Crackers', 'Snack Foods', 'Snack Foods')
('Carlson Large Curd Cottage Cheese', 'Dairy', 'Dairy')
('Ebony Squash', 'Vegetables', 'Produce')
('Consolidated Silky Smooth Hair Conditioner', 'Bathroom Products', 'Health and Hygiene')
('Big Time Home Style French Fries', 'Vegetables', 'Frozen Foods')
('Choice Semi-Sweet Chocolate Bar', 'Candy', 'Snacks')
('Golden Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Washington Strawberry Drink', 'Drinks', 'Beverages')
('Skinner Apple Juice', 'Pure Juice Beverages', 'Beverages')
('Thresher Mints', 'Candy', 'Snacks')
('Fort West Fondue Mix', 'Snack Foods', 'Snack Foods')
('Carrington Frozen Chicken Breast', 'Meat', 'Frozen Foods')
('Red Spade Chicken Hot Dogs', 'Meat', 'Deli')
('Ebony Canned Peanuts', 'Specialty', 'Produce')
('PigTail Pancake Mix', 'Breakfast Foods', 'Frozen Foods')
('Best Choice Low Fat Chips', 'Snack Foods', 'Snack Foods')
('Consolidated Dishwasher Detergent', 'Decongestants', 'Health and Hygiene')
('Sunset C-Size Batteries', 'Electrical', 'Household')
('Toucan Canned Mixed Fruit', 'Fruit', 'Canned Products')
('Consolidated Childrens Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('Imagine Low Fat Waffles', 'Breakfast Foods', 'Frozen Foods')
('Best Choice Salted Pretzels', 'Snack Foods', 'Snack Foods')
('Blue Label Beef Soup', 'Canned Soup', 'Canned Foods')
('Tell Tale Almonds', 'Specialty', 'Produce')
('American Cole Slaw', 'Side Dishes', 'Deli')
('Cutting Edge Sliced Chicken', 'Meat', 'Deli')
('Best Choice Dried Apples', 'Snack Foods', 'Snack Foods')
('Thresher Bubble Gum', 'Candy', 'Snacks')
('BBB Best Grape Jelly', 'Jams and Jellies', 'Baking Goods')
('Denny 60 Watt Lightbulb', 'Electrical', 'Household')
('Colony Bagels', 'Bread', 'Baked Goods')
('Sunset Toilet Paper', 'Paper Products', 'Household')
('Cormorant D-Size Batteries', 'Electrical', 'Household')
('Atomic Semi-Sweet Chocolate Bar', 'Candy', 'Snacks')
('Fort West Beef Jerky', 'Snack Foods', 'Snack Foods')
('Fort West Graham Crackers', 'Snack Foods', 'Snack Foods')
('Red Wing 60 Watt Lightbulb', 'Electrical', 'Household')
('American Chicken Hot Dogs', 'Meat', 'Deli')
('Super Low Fat Apple Butter', 'Jams and Jellies', 'Baking Goods')
('Skinner Cranberry Juice', 'Pure Juice Beverages', 'Beverages')
('Consolidated 200 MG Ibuprofen', 'Pain Relievers', 'Health and Hygiene')
('American Roasted Chicken', 'Meat', 'Deli')
('Pleasant Canned Yams', 'Vegetables', 'Canned Foods')
('Hermanos Almonds', 'Specialty', 'Produce')
('Tell Tale Macintosh Apples', 'Fruit', 'Produce')
('Booker Buttermilk', 'Dairy', 'Dairy Drink')
('Fast Grape Fruit Roll', 'Snack Foods', 'Snack Foods')
('High Top Honey Dew', 'Fruit', 'Produce')
('Sunset Counter Cleaner', 'Cleaning Supplies', 'Household')
('Hermanos Dried Mushrooms', 'Vegetables', 'Produce')
('Cormorant Plastic Knives', 'Plastic Products', 'Household')
('Fort West BBQ Potato Chips', 'Snack Foods', 'Snack Foods')
('Fabulous Mango Drink', 'Drinks', 'Beverages')
('BBB Best Hot Chocolate', 'Hot Beverages', 'Beverages')
('Hilltop Angled Toothbrush', 'Bathroom Products', 'Health and Hygiene')
('Cormorant Paper Cups', 'Paper Products', 'Household')
('Ebony Limes', 'Fruit', 'Produce')
('Bravo Canned String Beans', 'Vegetables', 'Canned Foods')
('Denny Plastic Forks', 'Plastic Products', 'Household')
('Choice Bubble Gum', 'Candy', 'Snacks')
('Just Right Large Canned Shrimp', 'Canned Shrimp', 'Canned Foods')
('High Top Fancy Plums', 'Fruit', 'Produce')
('Sphinx White Bread', 'Bread', 'Baked Goods')
('Blue Medal Large Eggs', 'Eggs', 'Eggs')
('Super Columbian Coffee', 'Hot Beverages', 'Beverages')
('Fast Dried Apricots', 'Snack Foods', 'Snack Foods')
('Landslide Oregano', 'Baking Goods', 'Baking Goods')
('Ebony Lettuce', 'Vegetables', 'Produce')
('Choice Mints', 'Candy', 'Snacks')
('Jumbo Small Brown Eggs', 'Eggs', 'Eggs')
('Hermanos Fresh Lima Beans', 'Vegetables', 'Produce')
('Ebony Cauliflower', 'Vegetables', 'Produce')
('Bird Call Apricot Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Nationeel Sugar Cookies', 'Snack Foods', 'Snack Foods')
('Super French Roast Coffee', 'Hot Beverages', 'Beverages')
('PigTail Frozen Carrots', 'Vegetables', 'Frozen Foods')
('Walrus Light Beer', 'Beer and Wine', 'Alcoholic Beverages')
('Colony Blueberry Muffins', 'Bread', 'Baked Goods')
('Nationeel Raspberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('Hermanos Squash', 'Vegetables', 'Produce')
('Faux Products 200 MG Ibuprofen', 'Pain Relievers', 'Health and Hygiene')
('Horatio Dried Dates', 'Snack Foods', 'Snack Foods')
('Nationeel BBQ Potato Chips', 'Snack Foods', 'Snack Foods')
('Moms Sliced Ham', 'Meat', 'Deli')
('Nationeel Lemon Cookies', 'Snack Foods', 'Snack Foods')
('Big Time Blueberry Waffles', 'Breakfast Foods', 'Frozen Foods')
